"","id","pollster","start_date","end_date","method","source","last_updated","partisan","affiliation","question","chart","topic","state","subpopulation","observations","margin_of_error","choice","value","first_name","last_name","party","incumbent"
"58",22380,"Suffolk/USA Today",2015-07-09,2015-07-12,"Live Phone","http://www.suffolk.edu/documents/SUPRC/7_15_2015_marginals.pdf",NA,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1000,3,"Clinton",51,"Hillary","Clinton","Dem",FALSE
"59",22380,"Suffolk/USA Today",2015-07-09,2015-07-12,"Live Phone","http://www.suffolk.edu/documents/SUPRC/7_15_2015_marginals.pdf",NA,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1000,3,"Trump",34,"Donald","Trump","Rep",FALSE
"60",22380,"Suffolk/USA Today",2015-07-09,2015-07-12,"Live Phone","http://www.suffolk.edu/documents/SUPRC/7_15_2015_marginals.pdf",NA,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1000,3,"Other/Undecided",16,NA,NA,NA,NA
"68",22415,"PPP (D)",2015-07-20,2015-07-21,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf",2015-12-23 20:10:54,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1087,3,"Clinton",50,"Hillary","Clinton","Dem",FALSE
"69",22415,"PPP (D)",2015-07-20,2015-07-21,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf",2015-12-23 20:10:54,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1087,3,"Trump",37,"Donald","Trump","Rep",FALSE
"70",22415,"PPP (D)",2015-07-20,2015-07-21,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf",2015-12-23 20:10:54,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1087,3,"Other/Undecided",13,NA,NA,NA,NA
"137",22537,"Emerson College Polling Society",2015-07-26,2015-07-28,"Automated Phone","http://media.wix.com/ugd/3bebb2_6f8188f5b1ac4e45bd6a2bd76268e55a.pdf",2015-08-12 02:08:26,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",950,3.4,"Other/Undecided",12,NA,NA,NA,NA
"138",22537,"Emerson College Polling Society",2015-07-26,2015-07-28,"Automated Phone","http://media.wix.com/ugd/3bebb2_6f8188f5b1ac4e45bd6a2bd76268e55a.pdf",2015-08-12 02:08:26,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",950,3.4,"Clinton",49,"Hillary","Clinton","Dem",FALSE
"139",22537,"Emerson College Polling Society",2015-07-26,2015-07-28,"Automated Phone","http://media.wix.com/ugd/3bebb2_6f8188f5b1ac4e45bd6a2bd76268e55a.pdf",2015-08-12 02:08:26,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",950,3.4,"Trump",40,"Donald","Trump","Rep",FALSE
"195",22654,"PPP (D)",2015-08-28,2015-08-30,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf",2015-12-23 20:17:16,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1254,2.8,"Clinton",46,"Hillary","Clinton","Dem",FALSE
"196",22654,"PPP (D)",2015-08-28,2015-08-30,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf",2015-12-23 20:17:16,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1254,2.8,"Trump",44,"Donald","Trump","Rep",FALSE
"197",22654,"PPP (D)",2015-08-28,2015-08-30,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf",2015-12-23 20:17:16,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1254,2.8,"Other/Undecided",11,NA,NA,NA,NA
"201",22699,"Emerson College Polling Society",2015-09-05,2015-09-08,"Automated Phone","http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf",2015-09-11 18:07:22,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",955,3.1,"Other/Undecided",11,NA,NA,NA,NA
"202",22699,"Emerson College Polling Society",2015-09-05,2015-09-08,"Automated Phone","http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf",2015-09-11 18:07:22,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",955,3.1,"Clinton",43,"Hillary","Clinton","Dem",FALSE
"203",22699,"Emerson College Polling Society",2015-09-05,2015-09-08,"Automated Phone","http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf",2015-09-11 18:07:22,"Nonpartisan","None","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",955,3.1,"Trump",47,"Donald","Trump","Rep",FALSE
"295",22856,"PPP (D)",2015-10-01,2015-10-04,"IVR/Online","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf",2015-10-06 19:17:37,"Pollster","Dem","2016 General Election: Trump vs. Clinton","2016-general-election-trump-vs-clinton","2016-president","US","Likely Voters",1338,2.7,"Clinton",44,"Hillary","Clinton","Dem",FALSE
